NAME,GROWTH,FLOWER,YEAR,AFS #,DESCRIPTION,PARENTAGE,GROWER
CURVACEOUS LADY,LABU-TRAL,DUBL,1987,2084,T.SHORT CREAM.S.WHITE INNER.TINGED PINK UNDERNEATH RECURVED.C.TYRIAN-ROSE.,(BLUSH OF DAWN X LA-CAMPANELLA) X SALLY X ALASKA.,SHARPE.N.Z
CYNDY ROBYN,TRAILER,DUBL,1982,1662,T.SHORT FLESH PINK.S.LONG BROAD FLESH PINK.C.ROSE TO RED.SOME PETALOIDS.,APPLAUSE X SNOWFIRE.,STUBBS
D.WRIGHT,TRAILER,DUBL,,,T&S.WHITE.C.PALE BLUE.FLOWERS MEDIUM.,PARENTAGE UNKNOWN. LISTED IN EARLY N.Z.CATALOGUES,UNKNOWN.N.Z
DAINTY DAMOSEL,UPRT BUSH,SIDL,1953,187,T.SHORT PINK.S.SHORT WHITE.C.DEEPEST COBALT-VIOLET.FADES TO MALLOW PURPLE.,PARENTAGE UNKNOWN.,SCHNABEL
DAINTY LADY,UPRT BUSH,SIDL,1838,,T&S.CERISE.C.WHITE.BASE VEINED CERISE.,PARENTAGE UNKNOWN.,LOWE
DAISY BELL,TRAILER,SGLE,1977,1420,T.LONG WHITE FLUSHED ORANGE.S.PALE ORANGE.C.VERMILLION SHADING PALE ORANGE.,PARENTAGE UNKNOWN.,UNKNOWN
DALE MAREE,TRAILER,SGLE,,,T.LONG SALMON.S.SHORT SALMON PINK.C.ORANGE.,SEEDLING FROM CALIFORNIA. RAISED N.Z.,McCONCHIE
DAME ELIZABETH,LAX BUSH,DUBL,,,T&S.ROSE.C.BLUISH VIOLET.,PARENTAGE UNKNOWN.THIS COULD BE JANE ELIZABETH.AMBERELLE,UNKNOWN
DANCING FLAME,LABU-TRAL,DUBL,1981,1621,T.SHORT FLESH TO PALE ORANGE.S.NARROW ORANGE.C.ORANGE-CARMINE.CENTRE DEEPER.,NOVELLA X APPLAUSE.,STUBBS
DANIELA,,,,,,,
DANIELLE,TRAILER,SGLE,1989,2428,T&S.PINK.No.62A.STRIPED DARK ROSE.TPS RECURVED.C.WHITE.,HARRY GRAY X HARRY GRAY. 1997 IMPORT BY HAYES.,DUNNETT
DANIELLE AMBER,UPRT TRAIL,DUBL,2009,,S.FUCHSIA PINK; TIPPED GREEN; COROLLA ROSE PURPLE DAPPLED FUCHSIA PINK,NO INFORMATION,MICHIELS BELG
DANISH PASTRY,LABU-TRAL,SGLE,1968,771,T&S.CORAL.TIPS GREEN.C.LAVENDER TO SALMON RED.LARGE BLOOMS.,PARENTAGE UNKNOWN.,FUCHSIA-LA
DANNY BOY,UPRIGHT,DUBL,1961,483,T&S.PALE RED.C.RED.HUGE FLOWERS.,PARENTAGE UNKNOWN.,TIRET
DANNY KAYE,UPRIGHT,DUBL,1992,,T & S VERMILLION RED; COROLLA TOMATO REDL.,NO INFORMATION,VAN KROM HOL
DANUBE BLUE,UPRT BUSH,DUBL,1912,,T&S.DEEPEST PINK OR RED.C.BLUE FUSED LIGHT RED.FLOWERS LARGE.,PARENTAGE UNKNOWN.,ROZAIN
DARK EYES,UPRT BUSH,DUBL,1958,351,T.SHORT AND SHORT UPTURNED SEPALS DEEP RED.C.VIOLET BLUE.ROLLED PETALS.,PARENTAGE UNKNOWN.,ERICKSON
DARK LADY,LAX BUSH,SGLE,,,T.LONG SLENDER RED.S.SHORT RED.C.DEEP PURPLE.SMALL FLOWERS.,PARENTAGE UNKNOWN. LISTED IN EARLY N.Z.CATALOGUES.,UNKNOWN.N.Z
DARK SECRET,UPRT BUSH,DUBL,1957,300,T.GREENISH.S.UPTURNED BROAD.WHITE OUTSIDE PALE PINK INSIDE.C.DEEPEST VIOLET,PARENTAGE UNKNOWN.,HODGES
DARK SPIDER,TRAILER,SIDL,1985,1849,T.THIN LONG CRIMSON.S.HORIZONTAL SCARLET.C.PANSY-BLUE.BASE ORANGE-RED.,BRUTUS X UNKNOWN. 1992 IMPORT. LOST.,DE-GRAAFF
DAVID,LOW BUSH,SGLE,1937,,T&S CERISE.C.RICH PURPLE.FLRS.SML.GROWTH LOW BUSH.,PUMILA X VENUS VICTRIX. SAME COLOUR AS PUMILA.,WOOD
DAVID LOCKYER,UPRIGHT,DUBL,1968,,T&S.WHITE.C.BRIGHT RED.STRIPED WHITE.SECONDRY SKIRT EXTENDS BELOW COROLLA.,PARENTAGE UNKNOWN.,HOLMES.E
DAWN,UPRT BUSH,SGLE,1970,,T&S.WHITE.TIPS GREEN.C.PALE VIOLET.PALER AT BASE.,PARENTAGE UNKNOWN.,BAKER
DAWN MIST,LABU-TRAL,DUBL,1983,2283,T&S.PINK.TIPS RECURVED.C.LIGHT BLUISH-PINK.MATURING LIGHTER.PETALOIDS PINK.,SNOWFIRE X(PARTY FROCK X SO-BIG).,STUBBS
DAY STAR,UPRT BUSH,SGLE,1970,,T&S.PALE ROSE-OPAL.C.MAGENTA ROSE.LARGE FLOWERS.,PARENTAGE UNKNOWN.,BAKER
DE BERCKT,UPRT/TRAIL,DUBL,1994,3275,T.LT MAGENTA; S. VERY PALE YELLOW/GREEN; C. OPENS PURPLE (77a) MATURING PURPLE (61a-71a),ZULU QUEEN X COOKIE,DE GRAAFF
DEACONESS,UPRT BUSH,DUBL,,,T&S RED.C.PURPLE.FLOWRS SMALL. SIMILAR TO MARGARET.,PARENTAGE UNKNOWN. LISTED IN N.Z CATALOGUES.,UNKNOWN.N.Z
DEAN LE BARON,TRAILER,DUBL,1969,828,T&S ROSY PINK.C.VIOLET-PURPLE.,PARENTAGE UNKNOWN.,TIRET
DEE COPLEY,UPRIGHT,DUBL,1964,617,T.RED.S.BROAD BRIGHT RED.C.DEEP PURPLE.MOTTLED RED AT BASE.,PARENTAGE UNKNOWN.,COPLEY
DEEP PURPLE,TRAILER,DUBL,1989,2411,T&S.WHITE.TIPS RECURVED.C.OPENS DARK PURPLE.MATURING PURPLE.,BLUE SATIN X QUASAR.,GARRETT
DEL ROSA,TRAILER,DUBL,1960,,T&S.WHITE.TIPS PINK.C.WHITE.CAN BE USED AS A CLIMBER.,PARENTAGE UNKNOWN. RAISED AUSTRALIA. 1992 IMPORT.,LOCKERBIE
DELIGHTFUL LADY,LABU-TRAL,SGLE,1985,1814,T.LONG CARMINE.S.HELD HORIZONTAL CRIMSON.TIPS GREEN.C.RHODAMINE-PURPLE.,WHITE KING X ORANGE DROPS.,SHARPE.N.Z
DELILAH,UPRT BUSH,DUBL,1974,1192,T&S.ROSE-PINK.SEPALS REFLEXED TO STEM.C.VIOLET.FLECKED PINK AND WHITE.,PARENTAGE UNKNOWN.,HANDLEY
DELTA'S PARADE,UPRIGHT,SIDL,1994,3206,T.DARK ROSE.S.RED-PURPLE.TIPS RECURVED.COROLLA AND PETALOIDS DARK PURPLE.,LECHLADE MAGICIAN X FEY.,VREEKE.VANT
DELTASCHON,UPRT BUSH,DUBL,1986,,T & S RED; C. PALE PINK VEINED RED.FOLIAGE MEDIUM TO DARK GREEN,SPORT FROM TAUSENDSCHON,FELIX HOLL.
DELVINO,UPRT BUSH,DUBL,,,T&S.RED.C.VIOLET BLUE.SPLASHED RED AT BASE.,PARENTAGE UNKNOWN. RAISED AUSTRALIA.,LOCKERBIE
DEMI,UPRIGHT,SGLE,2005,5680,TUBE PINK; SEPALS PALE PINK; COROLLA RED,?ROESSE BLACKY? X ?WALZ HARP?,MICHIELS BELG
DENISE,LABU-TRAL,DUBL,,,T&S.ROSY RED.C.PURPLE.NEATLY FOLDED PETALS.LARGE BLOOMS.,PARENTAGE UNKNOWN. LISTED BY GRO-WEL.,UNKNOWN.N.Z
DERBY IMP,TRAILER,SGLE,1974,1220,T.THIN CRIMSON.S.CRIMSON.ROSE-RED UNDERNEATH.C.VIOLET BLUE.FADING TO PURPLE.,PARENTAGE UNKNOWN.,GADSBY
DESERT SUN,TRAILER,DUBL,,,LISTED IN GRO-WELL FUCHSIAS NON DESCRIPTIVE CATALOGUE.,PARENTAGE UNKNOWN. COULD BE DESERT SUNSET.,UNKNOWN.
DESERT SUNSET,TRAILER,DUBL,1956,268,T.SHORT WHITE FLUSHED PINK.S.ROSY SHADE.C.SMOKY ROSE.SPLASHED COPPERY CORAL.,PARENTAGE UNKNOWN.,WALTZ
DESTINY,LABU-TRAL,DUBL,1968,2269,T&S.LIGHT PINK.DARKER ON LOWER SURFACE.RECURVED TIPS.C.REDDISH-PURPLE.,PINK MARSHMALLOW X LORAINE'S DELIGHT.1992.IMPORT. LOST.,RICHARDSON
DEUTSCHE PERLE,UPRT BUSH,SGLE,1874,,T&S.WHITE. C.CRIMSON SALMONN.,PARENTAGE UNKNOWN.SYN.WITH WATER NYMPH.SIM.LYE'S UNIQUE.,TWRDY
DEVILS ELBO,UPRIGHT,SGLE,1990,,NO DETAILS. SISTER SEEDLING TO RED ARROW.,ETERNAL FLAME X GARTENMEISTER BONSTEDT.,SHARPE
DEVONSHIRE DUMPLING,TRAILER,DUBL,1986,,T.SHORT THICK WHITE.S.NEYRON ROSE TIPPED GREEN.C.WHITE.OUTER PETALS FLUSHED.,PARENTAGE NOT STATED.SOMETIMES LISTED DOUBLE.1997 IMPORT,HILTON
DIABLO,TRAILER,DUBL,1961,484,T&S.WHITE.C.BURGUNDY-RED.,PARENTAGE UNKNOWN.,TIRET
DIADEM,MED UPRT,SIDL,1946,,T&S.WHITE.C.PEONY PURPLE.FLOWERS MEDIUM.FOLIAGE LARGE.,PARENTAGE UNKOWN. TWO OF THIS NAME.A DOUBLE BY SMITH.,REITER
DIAMOND CELEBRATION,UPRIGHT,DUBL,1997,3764,T&S.WHITE. C.WHITE MATURING WHITE FLUSHED PINK.,HARRY GRAY X ROY WALKER. PREVIOUSLY LISTED' HARLOW SNOW',JOHNS
DIANA,TRAILER,DUBL,1967,740,T.GREENISH WHITE.S.WHITE AND PALE PINK.TIPS GREEN.C.LIGHT MARBLED LAVENDER.,PARENTAGE UNKNOWN.,KENNETT
DIANA WILLS,MED BUSH,DUBL,1968,976,T&S.WAXY WHITE.TIPS GREEN.C.SPIRAEA-RED.FLUSHED WHITE AND ROSE.,PEPI X.,GADSBY
DIANE,UPRT BUSH,SGLE,,,T&S.WAXY WHITE.C.CAMEO PINK.,PARENTAGE UNKNOWN.,HAZARD
DICK GRACE,VIG UPRT,DUBL,,,T.SHORT WHITE;GREEN STRIPES.S.WHITE FLUSHED PINK; C.ROSE RED WIDTH GREATER THAN LENGTH.,SUNDIAL X WHITE KING,GRACE NZ
DICTATOR,,,1871,,NOT ENOUGH KNOWN ABOUT WHICH ONE OF 2 OF THIS NAME IT COULD BE,,
DIENIE STEWART,UPRIGHT,SGLE,1998,4064,T&S.PALE PINK.C.WHITE.,CARLA JOHNSON X UNKNOWN.,PORTER
DILLY DILLY,LABU-TRAL,DUBL,1963,577,T&S.PINK.C.LILAC.FLOWERS LARGE.,PARENTAGE UNKNOWN.,TIRET
DIMPLES,LABU-TRAL,DUBL,1981,1629,T.SHORT RED.S.RED REFLEXED.C.WHITE WITH LIGHT RED VEINING.SMALL FLOWERS.,PARENTAGE UNKNOWN.,STORVICK
DIPTON DAINTY,UPRT BUSH,SIDL,1975,1243,T.SHORT AND S.ALL RHODAMINE PINK.C.WISTERIA BLUE.PETALOIDS STRIPED PINK.,LYE'S UNIQUE X E.OF BEACONSFIELD SEED X WHIRLAWAY SEED X,RYLE
DISPLAY,UPRT BUSH,SGLE,1881,,T&S.ROSE PINK.C.DEEPER PINK. ALMOST A SELF.,PARENTAGE UNKNOWN.SYN.PRINCE CHARMING & FRAU IDA NOACH.,SMITH
DISTINCTIVE,,,,,,,
DO DO,TRAILER,SGLE,1960,,T&S.WHITE.C.MAGENTA. SMALL FLOWERS.,PARENTAGE UNKNOWN. RAISED AUSTRALIA.,LOCKERBIE
DOCTOR BRENDEN FREEMAN,UPRT BUSH,SGLE,1977,1427,T.PALE PINK.S.RHODAMINE PINK SHADING TO PHLOX-PINK.C.WHITE.,CLOVERDALE PEARL X GRACE DARLING.,GADSBY
DOCTOR TREVOR CROSBY,UPRIGHT,SIDL,1995,3341,T.RED.S.RED WITH RECURVED TIPS.C.PURPLE MATURING LIGHTER.PETALOIDS DARK ROSE,PINK GALORE X VOODOO.,BUTCHER
DOLLAR PRINCESS,VIG UPRT,DUBL,1912,,T&S.CERISE.C.RICH PURPLE.FLRS.SMALL FOR A DOUBLE.,PARENTAGE UNKNOWN. ALSO WRONGLY KNOWN AS PRINCESS DOLLAR,LEMOINE
DOLLIE PAUSCH,LABU-TRAL,DUBL,1962,495,T.AND BROAD UPTURNED SEPALS ROSY RED.C.CREAMY WHITE.RED VEINED.,PARENTAGE UNKNOWN. SIMILAR FLOWERS TO SWINGTIME & LASSIE,OLSON
DOMACIN,LABU-TRAL,DUBL,1985,1801,T.LONG & THIN.WHITE.S.NEYRON-ROSE.TIPED GREEN.C.LILAC-PURPLE SPLASHED ROSE.,PINK MARSHMALLOW X MIDNIGHT SUN. RAISED AUSTRALIA.,RICHARDSON
DOMINYANA,VIG UPRT,SGLE,1852,,T.GREEN.S.SCARLET.TIPS GREEN.C.SMALL.BRIGHT VERMILION RED.TRUMPET FLOWERS.,F.DENTICULATA X F.MACROSTIGMA.SIMILAR TO FANFARE.,DOMINY
DON PERALTA,VIG UPRT,SGLE,1950,62,T.S.& C.ALL RED.ALMOST A SELF.FLOWERS LARGE.CAN BE SEMI-DOUBLE.,PARENTAGE UNKNOWN.,TIRET
DONNA LOUISE,TRAILER,DUBL,1990,2572,T.DARK ROSE.S.DARK ROSE UPPER.ROSE UNDER.TIPS RECURVED.C.LIGHT PURPLE.,OVATION X WHITE KING.RAISED AUSTRALIA.1992 IMPORT. LOST.,RICHARDSON
DONNA MARIE,TRAILER,SGLE,1969,829,T&S.PALE PINK.C.SALMON.,PARENTAGE UNKNOWN.,TIRET
DOPY,LOW BUSH,DUBL,1974,,T&S.RED.C.PURPLE TINGED PINK.FLOWERS SMALL.BUSH 9 TO 15ins.,PARENTAGE UNKNOWN,TABRAHAM
DORIEN,TRAILER,SIDL,1996,3523,SEPALS WHITE; COROLLA WHITE,NO INFORMATION,ALFONS CLAES
DORIS FORD,UPRT BUSH,SGLE,1981,,T.GREENISH WHITE.S.GREENISH WHITE FLUSHED PINK.C.LAVENDER BLUE.PINK BASE.,PARENTAGE UNKNOWN.,CLYNE
DORIS JOAN,UPRIGHT,SGLE,1997,3777,T&S.GREENISH CREAM.C PALE PINK MATURING TO LIGHT PINK WITH MAGENTA SPOTS.,CLOVERDALE PEARL X BORDER QUEEN.,SHEPPARD
DOROTHEA FLOWER,UPRT BUSH,SGLE,1969,1009,T.THIN WHITE.S.WHITE WITH PINK FLUSH.C.VIOLET BLUE.BASE FLUSHED PINK.,HAWKSHEAD X VENUS VICTRIX.,THORNLEY
DOROTHY,,,,,,,
DOROTHY CUNNINGHAM,UPRIGHT,DUBL,1994,3264,TUBE LT GREEN; SEPALS CREPED PINK UPPER; PALE PINK LOWER; COROLLA DK RED PURPLE,UNKNOWN,BC FUCHSIA SOC.
DOROTHY HANLEY,UPRIGHT,DUBL,1996,,SEPALS RED; COROLLA DARKER RED.,NO INFORMATION,CHARLESS GB
DOROTHY LOUISE,LABU-TRAL,DUBL,1952,113,T.S.& C.ALL PALE PINK SELF.UPRIGHT OR ARCHING TRAILER.,PARENTAGE UNKNOWN.,SCHNABEL
DOUBLE DELIGHT,LOW UPRT,DUBL,1987,2085,T.SHORT CREAM.S.CREAM RECURVED LONG WITH GREEN TIPS.C.MINERAL VIOLET.SQUARE.,BLUSH OF DAWN.X LA-CAMPANELLA X (SALLY X ALASKA),SHARPE.N.Z
DR FOSTER,UPRT,SGLE,1899,,,,LEMOINE FR.
DR TOPINARD,,,,,,,
DR VANDER KUYLEN,,,,,,,
DR.CUMMING,,,,,NO DESCRIPTION.,GARTENMEISTER BONSTEDT X AURORA SUPERBA.,RANKIN.N.Z
DR.HAMMETT,TRAILER,SGLE,,,T&S.SALMON.C.BRILLIANT BRIGHT ORANGE.FOLIAGE DARK.WRONGLY NAMED D.E.HAMMETT.,BOULLEMIER LISTS THIS AS DE HAMMETT. THIS IS INCORRECT.,UNKNOWN
DR.JULES WELCH,VIG UPRT,DUBL,1946,45,T.WHITE.S.WATERMELON PINK.C.BLUE VIOLET.FLOWERS LARGE.,PARENTAGE UNKNOWN.,EVANS
DRAMA GIRL,TRAILER,DUBL,1975,,T&S.PALE PINK.C.BLUE MARBLED PINK.GOOD BASKET.,PARENTAGE UNKNOWN. RAISED AUSTRALIA.,LOCKERBIE
DRAME,UPRT BUSH,SIDL,1880,,T&S.SCARLET.C.VIOLET PURPLE.FOLIAGE YELLOWISH GREEN.,RICCARTONII X.,LEMOINE
DRESDEN,UPRIGHT,SIDL,,,T & S NEYRON-ROSE; COROLLA MAUVE; OUTSIDE PETALS NEYRON-ROSE,,
DU BARRY,UPRT BUSH,DUBL,1950,63,T& REFLEXED S.SOFT PINK.C.FUCHSIA PURPLE.SMALL INSIDE PETALS MARBLED PINK.,PARENTAGE UNKNOWN.,TIRET
DUCHESS OF ALBANY,UPRT BUSH,SGLE,1891,,T.WAXY CREAM.S.WHITISH PINK RECURVED.C.PINKISH-CERISE.,PARENTAGE UNKNOWN.,RUNDLE
DUKE OF WELLINGTON,VIG/UPRT,LGE DUBL,1956,,T. & S. CARMINE; C. VIOLET PURPLE; PINK AT BASE.VEINED CERISE.HUGE BLOOMS.,NO INFORMATION,HAAG & SON
DUKE OF WINDSOR,,,,,NO INFORMATION,,
DUKE OF YORK,UPRT BUSH,SGLE,1845,,T&S.PINKISH ROSE.C.PURPLE TO VIOLET BLUE.COROLLA TENDS TO BE SAUCER SHAPED.,PARENTAGE UNKNOWN. COLOUR SIMILAR TO MRS.POPPLE.,MILLER
DULCIE ELIZABETH,UPRT BUSH,DUBL,1974,1227,T& REFLEXED S.NEYRON ROSE.C.POWDER BLUE.FLECKED ROSE AND SHELL-PINK.,TENNESSEE WALTZ X WINSTON CHURCHILL.,CLYNE
DUSK,TRAILER,DUBL,1958,357,T&S.PALE BLUSH PINK.UNDER SIDES DARKER.C.PALE BLUE SHADED PINK AT BASE.,PARENTAGE UNKNOWN.,REEDSTROM
DUSKY BEAUTY,LOW UPRT,SGLE,1981,1652,T. ROSE.S.HORIZONTAL NEYRON ROSE.C.PALE PURPLE WITH PINK CAST AND EDGES.,PARENTAGE UNKNOWN.,RYLE
DUSKY BLUE,TRAILER,DUBL,1991,2745,T.MEDIUM GREEN.S.PALE ROSE.YELLOW-GREEN RECURVED TIPS.C.VIOLET-BLUE.,DUSKY ROSE X DRAMA GIRL. 1992 IMPORT. LOST.,RILEY
DUSKY ROSE,TRAILER,DUBL,1960,439,T.DEEP PINK.S.LONG CORAL PINK.C.ROSE WITH SPLASHES OF CORAL PINK.,PARENTAGE UNKNOWN.,WALTZ
DUTCH MILL,UPRT BUSH,SGLE,1962,,T&S.BRIGHT ROSE-BENGAL.SEPALS LONG AND CURLED.C.VERONICA BLUE.BELL SHAPED.,PARENTAGE UNKNOWN.,PETERSON
DUTCH SHOES,TRAILER,DUBL,1970,895,T.ROSE SHORT.S.ROSE.TIPS PINK.C.ROSE.,PARENTAGE UNKNOWN.,PENNISI
DUYFKEN,MED UPRT,SGLE,1988,2257,T&S.LIGHT DUSKY ORANGE-RED.TIPS LIGHT GREEN REFLEXED.C.PINKISH-RED.,MR.W.RUNDLE X. RAISED AUSTRALIA.,BROMAT
EARL OF BEACONSFIELD,UPRT BUSH,SGLE,1878,,T&S.SALMON PINK.TIPS GREEN.C.SALMON-ORANGE.PETALS FLUTED.,F.FULGENS X PERFECTION. SYN.LAING'S HYBRID.,BANKS
EASTER BONNET,UPRT BUSH,DUBL,1955,225,T.SHORT ROSE.S.DEEP PINK TO PALE PINK.TIPS GREEN.C.DUSKY ROSE-PINK.,PARENTAGE UNKNOWN.,WALTZ
EASTERLING,,,,,,,
ECSTASY,TRAILER,DUBL,1948,9,T&S.NEYRON ROSE.TIPS GREEN.C.HYACINTH BLUE.SPLASHED PHLOX PINK.,PARENTAGE UNKNOWN.,TIRET
ED LAGARDE,TRAILER,DUBL,1967,713,T.SHORT WHITE.S.WHITE.C.DEEP BLUE.LARGE FLOWERS.,PARENTAGE UNKNOWN.,PENNISI
EDALE,UPRT BUSH,SGLE,1975,1281,T.THICK LIGHT PINK.S.RHODAMINE PINK.C.SPECTRUM-VIOLET TO IMPERIAL-PURPLE.,JOAN PACEY X MISS GREAT BRITAIN.,GADSBY
EDITH EMERY,UPRT BUSH,SIDL,1975,1284,T.SHORT.WHITE.S.WHITE WIDE REFLEXED.C.AMETHYST VIOLET FADING TO PURPLE.,LA-CAMPANELLA X FLIRTATION WALTZ.,CLYNE
EDITH ROSE,UPRIGHT,SGLE,,,,,
EGMONT BLUE,MED UPRT,SGLE,1984,1751,T.PALE PINK.S.IVORY ON TOP.WHITE EDGED VIOLET UNDER.C.VIOLET TO PINK-WHITE.,PARENTAGE UNKNOWN. INTRODUCED BY GRO-WELL.,PROFFIT.N.Z
EGMONT GOLD,TRAILER,DUBL,1989,2420,T&S.PALE PINK.C.PURPLE.MOTTLED PALE PINK.FADING LIGHTER.,MORNING LIGHT X UNKNOWN.,PROFFIT.N.Z
EGMONT TRAIL,UPRT BUSH,SGLE,1984,1752,T&S.CRIMSON.RECURVED TIPS.C.WHITE.VEINED CRIMSON.,SPORT FROM OREGON TRAIL. FOUND BY GRO-WEL.,PROFFIT.N.Z
EIFFEL TOWER,UPRT BUSH,SGLE,1982,,T&S.PALE PINK.C.DEEP MAUVE PINK.FLOWERS SMALL.,PARENTAGE UNKNOWN. LISTED BY DONNA'S NURSERIES.,UNKNOWN.N.Z
EILEEN RAFFILL,LAX UPRT,SGLE,1944,,T.ROSY CERISE.S.WHITE AND PALE PINK.TIPS GREEN.C.PALE PURPLE.BASE ROSY-PINK.,PARENTAGE UNKNOWN.,RAFILL
EL CAMINO,UPRT BUSH,DUBL,1955,,T&S.ROSY RED.S.BROAD.C.WHITE.FLUSHED AND VEINED ROSE.,PARENTAGE UNKNOWN,LEE
EL CID,UPRIGHT,SGLE,1966,,TUBE & SEPALS DEEP RED; COROLLA BURGUNDY RED. MED BLOOMS,EMPRESS OF PRUSSIA X COLVILLE,UNKNOWN GB
ELAINE MARGARET,LABU-TRAL,DUBL,1988,2270,T&S.WHITE EDGED MAGENTA.C.WHITE.,WHITE KING X HAPPY WEDDING DAY. RAISED AUSTRALIA.,RICHARDSON
ELEANOR,,,,,NO DESCRIPTION.,LILAC LUSTRE X CAPRI. RAISED BY RANKIN.,RANKIN.N.Z
ELEANOR CLARK,MED UPRT,SGLE,1980,1539,T&S.PHLOX PINK WITH DEEPER PINK STRIPES.FULLY REFLEXED.C.SHELL-PINK.,SPORT FROM SYMPHONY.,CLARK.D
ELEANOR LEYTHAM,UPRT BUSH,SGLE,1973,,T&S.WHITE FLUSHED PINK.C.PINK EDGED DEEPER PINK.,COUNTESS OF ABERDEEN X PINK DARLING.,ROE
ELEANOR RAWLINS,UPRT BUSH,SGLE,1954,,T&S.CARMINE.C.MAGENTA CHANGING TO CARMINE AT BASE.,PARENTAGE UNKNOWN.,WOOD
ELECTRA,UPRT BUSH,DUBL,1944,,T&S.RED.C.PALEST PINK ALMOST WHITE.VEINED ROSE.,PARENTAGE UNKNOWN. ORIGINALLY NAMED AZALEA.,NIEDERHOLZER
ELECTRIC LIGHTS,,,,,,,
ELEGANT LADY,UPRIGHT,DUBL,1990,2532,T&S.DARK ROSE.SEPAL TIPS TWISTED.C.VIOLET MATURING PALE PURPLE.,(VOODOO SEEDLING X TEXAS LONGHORN) X GEORGANA.,SHARPE.N.Z
ELFRIEDE OTT,LABU-TRAL,SIDL,1976,,ALL SALMON PINK.DESCRIBED AS A DOUBLE TRIPHYLLA.,CORALLE X F.SPLENDENS.,NUTZINGER
ELIZABETH,UPRT BUSH,SGLE,1941,,T.VERY LONG AND SEPALS ROSE OPAL.TIPS GREEN.C.ROSE SHADING TO SALMON PINK.,PARENTAGE UNKNOWN.,WHITEMAN
ELIZABETH BROWN,VIG BUSH,SIDL,1980,,T.SHORT NEYRON ROSE.S.NEYRON ROSE.TIPS GREEN.C.SPECTRUM-VIOLET.,GLYN JONES X NEIL CLYNE.,ROE
ELIZABETH TRAVIS,VIG UPRT,DUBL,1956,,T&.LONG SEPALS PALE PINK EDGED DEEP ROSE.C.WHITE.PETALS LONG.,PARENTAGE UNKNOWN.,TRAVIS
ELK HORN,UPRIGHT,DUBL,1949,49,T&S.CARMINE.C.DEEP PINK SERRATED EDGES.FLOWERS LARGE.,PARENTAGE UNKNOWN.,BRAND
ELLA,LAX UPRT,DUBL,,,T&S.PINK TIPS GREEN.C.DEEP CARMINE.INTRODUCED 1986.,PARENTAGE UNKNOWN. RAISER UNKNOWN.,UNKNOWN
ELLIS CHARMER,TRAILER,DUBL,1990,2573,T.WHITE STRIPED PINK.S.PINKISH WHITE WITH REFLEXED TIP.C.DARK PURPLE VIOLET.,HELEN VERA X OVATION. RAISED AUSTRALIA.1992 IMPORT.LOST.,RICHARDSON
ELSA,UPRT BUSH,SIDL,,,T&S.FLESH PINK.C.ROSY MAGENTA.FADING TO LIGHT PURPLE.LARGE FLOWERS.,PARENTAGE UNKNOWN.CONFUSED WITH LENA-EVA BOERG-HAPSBURGH,UNKNOWN
ELSIE DOWNEY,UPRIGHT,SGLE,1991,2755,T&S.PALE PINK.ROSE ON LOWER SURFACE WITH GREEN TIPS.C.LIGHT PURPLE.,ESTELLE MARIE X BORDER QUEEN. 1997 IMPORT BY HAYES.,BARNES
ELSIE MITCHELL,MED UPRT,DUBL,1980,1576,T.PINK.S.PINK SHADED WHITE TIPPED GREEN.C.SEA-LAVENDER.BASE PINK.,PARENTAGE UNKNOW.THIS CULTIVAR REGISTERED ELISE MITCHELL,RYLE
EMBARCADERO,TRAILER,DUBL,1962,532,T&S.LIGHT PINK TIPS ROSE.C.MUTED PURPLE FADING TO DUSKY ROSE.,PARENTAGE UNKNOWN.,PASKESEN
EMILE DE WILDEMAN,VIG UPRT,DUBL,1905,,T&S.RICH RED.C.BLUSH PINK.FLUSHED ROSE-PINK.,SYN FASCINATION.KNOWN AS ROSE BALLET GIRL.,LEMOINE
EMILE ZOLA,UPRT BUSH,SGLE,1910,,T&S.SCARLET-CERISE.SEPALS REFLEXED.C.BRIGHT ROSY MAGENTA.BELL SHAPE.,PARENTAGE UNKNOWN.,LEMOINE
EMMA LOUISE,UPR-TRAIL,DUBL,1990,2606,T&S. PALE PINK. C.PALE PALE PURPLE.MATURING VIOLET EDGED DARK RED.,CLOVERDALE PEARL X RINGWOOD MARKET.,HORSHAM
ENCHANTED,LABU-TRAL,DUBL,1951,95,T&S.ROSY RED.TUBE SHORT.C.COMPANULA-BLUE.FUCHSIA-PINK PETALOIDS.,TITANIC X YULTIDE. SISTER SEEDLING TO SWINGTIME.,TIRET
ENCOUNTER,UP/TRAILER,SGLE,1985,1830,TUBE CREAM; SEPALS PALE PINK; COROLLA MAUVE PINK,TREWINCE TWILIGHT X CHARLIE GIRL,HILL
ENGELMANN'S GIANT,UPRT BUSH,DUBL,1975,,T&S ROSE.C.WHITE.HEAVY ROSE VEINING.LARGE FLOWERS.,PARENTAGE UNKNOWN. RAISED AUSTRALIA.,LOCKERBIE
ENGLAND,UPRT BUSH,DUBL,,,T&S.LIGHT RED.C.PALE PINK.DARK PINK VEINING.LARGE FLOWERS.,PARENTAGE UNKNOWN.LISTED EARLY CATALOGUES.ALSO AUSTRALIA,UNKNOWN
